Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.35123991827125867,1.0909798175255594,-0.5164851144526346,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.3345734880097009,1.0911741395126677,-0.5169218761116023,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.313772234169096,1.609639258228955,-0.6982059287693194,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.13347724889274543,-1.3404497816509977,0.14769296362357764,3,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.13919612433934855,-1.9956721204635135,0.32540845775712274,3,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.18488842844487624,-1.071069956770532,0.027285488244977164,3,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.38435930957310116,1.1893436627043472,-0.48681900486011975,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.15056411358622743,-2.2470492757693585,0.3824759640029143,3,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.13763688247280878,-1.9957688724690392,0.32539124079438053,3,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.11274152405877538,-2.008953858896549,0.2908524579553019,3,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.3837677309279688,1.532926801461001,-0.1735392680811979,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.16056893397460198,-1.8918026327578517,0.3168282147827156,3,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.2986587683497515,0.8215794516381515,-0.39610126717760546,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.24810675632380275,0.6181104003773085,-0.0801770083187613,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.18603512216413504,-1.0710643920120861,0.027311643215068206,3,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.21674145558421357,1.8846027315637868,-0.6882967075587526,0,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.2193622855040098,-0.9726912287180074,0.05698078232842444,3,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.18565139559897087,-1.0710819758870491,0.02730612516723249,3,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.3508993792931914,1.090979557115818,-0.5164931682259314,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.3434764493589725,1.0912480924862709,-0.5167251339198214,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.09296351248807501,-1.8869349920523661,0.32186275590315416,3,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.5381341561557886,-1.2523564494871193,-0.0002470135228693482,3,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.130561089974513,-1.3404557419409573,0.14762476366443456,3,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.18290552529410642,-1.071120507453422,0.027248680137049886,3,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.1854552159620459,-1.071101019536794,0.027305372439101253,3,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.34973636479266074,1.091031774446305,-0.5165315991037228,0,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.20573758090951674,-0.45433313634561084,0.035558721253954144,3,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.21266595554885867,-1.3074999290564497,0.20417071398787176,3,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.18550426270515222,-1.071065533804935,0.027299239731058512,3,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.3512358514745133,1.090979599437538,-0.5164851664058239,0,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.1860173862640731,-1.071063779129184,0.027311094882715613,3,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3512201286208962,1.0909797841068407,-0.5164855787175583,0,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.1861038919741872,-1.071061130438043,0.027312609450467606,3,CannaCoin
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.21945164795059813,-0.9726928821299048,0.05698324996762143,3,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.5234288163511024,0.31896483168659373,-0.3919725724376679,0,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.37878117172142206,0.854554868177755,-0.3396065471258747,0,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.18429754262331752,-1.8877942612672796,0.3154386669825293,3,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.24451960994410016,-1.3424359613471901,0.1391024536552326,3,DevCoin
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.0627236386512976,-1.0721367721687243,0.02160996246937757,3,EarthCoin
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.18585011846963403,-1.0710579990125313,0.02730592354419214,3,E-Gulden
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.18145350308922048,-1.0711060474743948,0.027211136455540345,3,Einsteinium
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.18578934826834678,-1.071063789347571,0.02730566799379407,3,Emerald
EXCL,PoS,PoS,5679705.0,0.0,-0.3301441445331521,1.5778159123300224,-0.012325836788466256,0,Exclusive Coin
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.30839355307096034,0.5603334565928505,-0.20182604410007224,0,FlutterCoin
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.18616091104524712,-1.0710617349169647,0.027314091283943992,3,Franko
FTC,NeoScrypt,PoW,208669093.00773,336000000.0,-0.1675687820231025,-1.6713718250664904,0.21628221619309074,3,FeatherCoin
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.16537364554485967,-1.0713543544583988,0.02687940042345545,3,GrandCoin
GLC,Scrypt,PoW,65672720.4708748,70000000.0,-0.1849555798718272,-1.071062235041719,0.0272854983753468,3,GlobalCoin
GLD,Scrypt,PoW,41658647.9999715,72245700.0,-0.18523304582994918,-1.0710734340166685,0.027294408052329758,3,GoldCoin
HBN,Scrypt,PoW/PoS,89266933.684704,120000000.0,-0.34929790380005205,1.0909608497795928,-0.5165274465794503,0,HoboNickels
HYP,X11,PoS,1678520090.7713,0.0,-0.3136293437799455,0.9865808483763775,-0.1715204227676662,0,HyperStake
IFC,Scrypt,PoW,90595753018.6314,90600000000.0,1.5634099039917784,-1.0755828894230681,-0.01340851104872565,3,Infinite Coin
IOC,X11,PoW/PoS,17650913.9743456,22000000.0,-0.3842539969530026,1.1893473018940142,-0.48682226076010715,0,IOCoin
IXC,SHA-256,PoW,21089348.999,21000000.0,-0.13343861414497826,-1.3404484465861706,0.14769176917153543,3,IXcoin
KGC,Scrypt,PoW,151447649.8,265420800.0,-0.18252113647974388,-1.071118285848348,0.027239071795114075,3,KrugerCoin
LKY,Scrypt,PoW,19326319.14375,20000000.0,-0.18587656814699152,-1.071058195708007,0.027306593707791222,3,LuckyCoin
LTB,Scrypt,PoW,1104344.22938102,1350000.0,-0.18623151755431594,-1.071057083693764,0.027314815357615502,3,Litebar 
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.46628053504621636,2.1653361378943057,-0.3331200528387405,0,MaxCoin
MEC,Scrypt,PoW,38151999.9930997,42000000.0,-0.18549047533919824,-1.0710606344881721,0.027297903566617536,3,MegaCoin
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.1451400627199378,-2.2840263063420534,0.40908684935935413,3,MediterraneanCoin
MINT,Scrypt,PoS,21293925445.4969,0.0,-0.040586809449598645,0.8964920221467584,-0.208600875100519,0,MintCoin
MINC,Scrypt,PoW,5804204.88794916,10000000.0,-0.18611272599414666,-1.0710591833810026,0.027312419202726843,3,MinCoin
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.26194945586808716,0.8211284663837148,-0.39688244038508314,0,MazaCoin
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.3004388392064828,0.8875009527747101,-0.2005647663290216,0,Nautilus Coin
NAV,X13,PoW/PoS,66087096.2077108,0.0,-0.27203523930982965,1.745630770475711,-0.6646217482078265,0,NavCoin
NOBL,Scrypt,PoW,2366066305.76482,15000000000.0,-0.050925074107187204,-1.0771399763012903,0.025344938117320553,3,NobleCoin
NMC,SHA-256,PoW,14736400.0,21000000.0,-0.13351623308126342,-1.3404511287911205,0.14769416887912235,3,Namecoin
NYAN,Scrypt,PoW,334709223.483138,337000000.0,-0.17977424938828673,-1.0710747080929022,0.027164710429895468,3,NyanCoin
OPAL,X13,PoW/PoS,15156364.3306548,0.0,-0.2726574998117074,1.7456092676018242,-0.6646025100770445,0,OpalCoin
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000.0,-0.33742133027195875,0.4907350221553038,-0.3274167768744696,0,Orbitcoin
POT,Scrypt,PoW/PoS,222677226.014206,420000000.0,-0.34553949742866347,1.0908755351292978,-0.5165993729009457,0,PotCoin
PXC,Scrypt,PoW/PoS,73959274.625,98000000.0,-0.3496410141898876,1.090964773862955,-0.5165200853051662,0,PhoenixCoin
RDD,Scrypt,PoW/PoS,29315567169.0888,0.0,0.006931245304208914,1.1033568032989767,-0.5275585212817658,0,Reddcoin
RPC,Scrypt,PoW,1104157.42169891,21000000.0,-0.1860921077564728,-1.0710663612098765,0.02731340501141347,3,RonPaulCoin
SBC,Scrypt,PoW,24215181.725,250000000.0,-0.18418504175618672,-1.0711647225065024,0.027288238336486668,3,StableCoin
SMC,Scrypt,PoW,25593737.1355044,51200000.0,-0.18557863762439242,-1.0710702802014904,0.02730198686758164,3,SmartCoin
SUPER,X11,PoS,50707661.7493518,0.0,-0.3335175987041261,0.9858935885612704,-0.17090554708762762,0,SuperCoin
SYNC,X11,PoW/PoS,1177.0,1000.0,-0.38462571524190914,1.189350236683676,-0.48681401488150106,0,SyncCoin
SYS,SHA-256,PoW,563336541.299966,888000000.0,-0.12066239802303627,-1.3406288510459456,0.14742471484066189,3,SysCoin
TES,Multiple,PoS,80260463.7331396,100000000.0,-0.24058640408525275,0.0718418438334784,0.09473369894969384,0,TeslaCoin
TGC,SHA-256,PoW,43536800.0,47011968.0,-0.13297980738499054,-1.3404512504480912,0.14768142300770468,3,TigerCoin
TIT,PHI1612,PoS,1622326490.46336,2300000000.0,-0.31755522187198304,1.5705126776295542,-0.2479115350505656,0,TittieCoin
TOR,X11,PoW/PoS,1431851.00002479,10000000.0,-0.3845372950522767,1.1893461198419866,-0.48681527298939836,0,TorCoin
TRC,SHA-256,PoW,22935396.0,42000000.0,-0.13326706953856624,-1.3404575820064946,0.14768956454620322,3,TerraCoin
UNB,SHA-256,PoW,2278150.0,80000000.0,-0.13324985426618444,-1.3404842445628693,0.1476946399107576,3,UnbreakableCoin
UNO,SHA-256,PoW,200911.79151896,250000.0,-0.13384104080420367,-1.3404474688662185,0.14770114875914994,3,Unobtanium
URO,X11,PoW,1207310.0,0.0,-0.21962565510491655,-0.9726859837093683,0.056985973431706194,3,UroCoin
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000.0,-0.3264615377821981,1.0906883788247483,-0.5170150663037464,0,UnitaryStatus Dollar
